InternalId,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
4689,4689,0,0,0,0,0,,IGN63/Hiva Oa.LL,IGN63/Hiva Oa.LL,IGN63/Hiva Oa.LL,IGN63 Hiva Oa,,,,,,,,,,,,,,0,0,0
4690,4690,0,0,0,0,0,,Tahiti79.LL,Tahiti79.LL,,Tahiti 79,,,,,,,,,,,,,,0,0,0
4691,4691,0,0,0,0,0,,Moorea87.LL,Moorea87.LL,Moorea87.LL,Moorea 87,,,,,,,,,,,,,,0,0,0
4692,4692,0,0,0,0,0,,Maupiti83.LL,Maupiti83.LL,Maupiti83.LL,Maupiti 83,,,,,,,,,,,,,,0,0,0
4693,4693,0,0,0,0,0,,Nakhl-eGhanem.LL,Nakhl-eGhanem.LL,Nakhl-eGhanem.LL,Nakhl-e Ghanem,,,,,,,,,,,,,,0,0,0
4694,4694,0,0,0,0,0,,PGA1994.LL,PGA1994.LL,,POSGAR 94,,,,,,,,,,,,,,0,0,0
4695,4695,0,0,0,0,0,,Katanga1955.LL,Katanga1955.LL,,Katanga 1955,,,,,,,,,,,,,,0,0,0
4696,4696,0,0,0,0,0,,Kasai1953.LL,Kasai1953.LL,,Kasai 1953,,,,,,,,,,,,,,0,0,0
4697,4697,0,0,0,0,0,,IGC1962/6S.LL,IGC1962/6S.LL,,IGC 1962 6th Parallel South,,,,,,,,,,,,,,0,0,0
4698,4698,37234,0,0,0,8240,,KERGUELN.LL,Kergueln.LL,KERGUELN.LL,IGN 1962 Kerguelen,GCS_Kerguelen_Island_1949,,,,,,,,Longitude / Latitude (Kerguelen Island),,,,,0,0,0
4699,4699,0,0,0,0,0,,LePouce1934.LL,LePouce1934.LL,LePouce1934.LL,Le Pouce 1934,,,,,,,,,,,,,,0,0,0
4700,4700,0,0,0,0,0,,IGNAstro1960.LL,IGNAstro1960.LL,,IGN Astro 1960,,,,,,,,,,,,,,0,0,0
4701,4701,0,0,0,0,0,,CongoBelge1955.LL,CongoBelge1955.LL,CongoBelge1955.LL,IGCB 1955,,,,,,,,,,,,,,0,0,0
4702,4702,0,0,0,0,0,,Mauritania1999.LL,Mauritania1999.LL,Mauritania1999.LL,Mauritania 1999,,,,,,,,,,,,,,0,0,0
4703,4703,0,0,0,0,0,,SaoTome1951.LL,SaoTome1951.LL,,Mhast 1951,,,,,,,,,,,,,,0,0,0
4704,4704,0,0,0,0,0,,Mhast/OnShore.LL,Mhast/OnShore.LL,,Mhast (onshore),,,,,,,,,,,,,,0,0,0
4705,4705,0,0,0,0,0,,Mhast/OffShore.LL,Mhast/OffShore.LL,,Mhast (offshore),,,,,,,,,,,,,,0,0,0
4706,4706,0,0,0,0,0,,Suez/S-650/TL.LL,Suez/S-650/TL.LL,,Egypt Gulf of Suez S-650 TL,,,,,,,,,,,,,,0,0,0
4707,4707,37213,0,0,0,0,,Tern1961.LL,TernIsland61.LL,Tern1961.LL,Tern Island 1961,GCS_Tern_Island_1961,,,,,,,,,,,,,0,0,0
4708,4708,0,0,0,0,0,,Cocos1965.LL,Cocos1965.LL,Cocos1965.LL,Cocos Islands 1965,,,,,,,,,,,,,,0,0,0
4709,4709,0,0,0,0,0,,IwoJima1945.LL,IwoJima1945.LL,IwoJima1945.LL,Iwo Jima 1945,,,,,,,,,,,,,,0,0,0
4710,4710,0,0,0,0,0,,StHelena1971.LL,StHelena1971.LL,StHelena1971.LL,St. Helena 1971,,,,,,,,,,,,,,0,0,0
4711,4711,0,0,0,0,0,,Marcus1952.LL,Marcus1952.LL,Marcus1952.LL,Marcus Island 1952,,,,,,,,,,,,,,0,0,0
4712,4712,37237,2000031,0,0,8201,,ASCENSN.LL,Ascension58.LL,ASCENSN.LL,Ascension Island 1958,GCS_Ascension_Island_1958,Ascension Island 1958,,,,,,,Longitude / Latitude (Ascension Island 1958),,,,,0,0,0
4713,4713,0,0,0,0,0,,Ayabelle.LL,Ayabelle.LL,Ayabelle.LL,Ayabelle Lighthouse,,,,,,,,,,,,,,0,0,0
4714,4714,37215,0,0,0,8207,,BELLEVUE.LL,Bellevue/IGN.LL,BELLEVUE.LL,Bellevue,GCS_Bellevue_IGN,,,,,,,,Longitude / Latitude (Bellevue),,,,,0,0,0
4715,4715,0,0,0,0,0,,CampAreaAstro.LL,CampAreaAstro.LL,CampAreaAstro.LL,Camp Area Astro,,,,,,,,,,,,,,0,0,0
4716,4716,0,0,0,0,0,,Phoenix Is1966.LL,PhoenixIsland1966.LL,Phoenix Is1966.LL,Phoenix Islands 1966,,,,,,,,,,,,,,0,0,0
4717,4717,37239,0,0,0,8213,,CANAVRL.LL,Canaveral.LL,CANAVRL.LL,Cape Canaveral,GCS_Cape_Canaveral,,,,,,,,Longitude / Latitude (Cape Canaveral),,,,,0,0,0
4718,4718,0,0,0,0,0,,Solomon1968.LL,Solomon1968.LL,Solomon1968.LL,Solomon 1968,,,,,,,,,,,,,,0,0,0
4719,4719,37219,0,0,0,8226,,EASTER.LL,EasterIs67.LL,EASTER.LL,Easter Island 1967,GCS_Easter_Island_1967,,,,,,,,Longitude / Latitude (Easter Island 1967),,,,,0,0,0
4720,4720,0,0,0,0,0,,Fiji1986.LL,Fiji1986.LL,Fiji1986.LL,Fiji 1986,,,,,,,,,,,,,,0,0,0
4721,4721,0,0,0,0,0,,Fiji1956.LL,Fiji1956.LL,Fiji1956.LL,Fiji 1956,,,,,,,,,,,,,,0,0,0
4722,4722,0,0,0,0,0,,SouthGeorgia1968.LL,SouthGeorgia1968.LL,SouthGeorgia1968.LL,South Georgia 1968,,,,,,,,,,,,,,0,0,0
4723,4723,0,0,0,0,0,,GrandCayman1959.LL,GrandCayman1959.LL,GrandCayman1959.LL,Grand Cayman 1959,,,,,,,,,,,,,,0,0,0
4724,4724,0,0,0,0,0,,DiegoGarcia1969.LL,DiegoGarcia1969.LL,DiegoGarcia1969.LL,Diego Garcia 1969,,,,,,,,,,,,,,0,0,0
4725,4725,37222,0,0,0,8238,,JHNSTN.LL,JohnstonIs61.LL,JHNSTN.LL,Johnston Island 1961,GCS_Johnston_Island_1961,,,,,,,,Longitude / Latitude (Johnston Island 1961),,,,,0,0,0
4726,4726,0,0,0,0,0,,LittleCayman1961.LL,LittleCayman1961.LL,LittleCayman1961.LL,Little Cayman 1961,,,,,,,,,,,,,,0,0,0
4727,4727,37224,0,0,0,8252,,MIDWAY.LL,MidwayAstro.LL,MIDWAY.LL,Midway 1961,GCS_Midway_1961,,,,,,,,Longitude / Latitude (Midway Astro 1961),,,,,0,0,0
4728,4728,37246,0,0,0,0,,CANARY.LL,PicoDeLasNieves.LL,CANARY.LL,Pico de la Nieves,GCS_Pico_de_Las_Nieves,,,,,,,,,,,,,0,0,0
4729,4729,37226,0,0,0,8280,,PITCAIRN.LL,Pitcairn67.LL,PITCAIRN.LL,Pitcairn 1967,GCS_Pitcairn_1967,,,,,,,,Longitude / Latitude (Pitcairn Astro 1967),,,,,0,0,0
