SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
20300,4286,4286,4286,0,0,0,,Qatar48.LL,Qatar48.LL,Qatar48.LL,Qatar 1948,GCS_Qatar_1948,Qatar 1948,,,Qatar 1948,,,,,,,,,0,0,0
20400,0,0,0,0,0,8286,,Qatar.LL,,Qatar.LL,,,,,,,,,,Longitude / Latitude (Qatar National),,,,"Ellipsoid on the original definitions, as taken from DMA 8352, is wrong.  Is International 1924, should have been Helmert 1906.  Qatar48.LL is correct.",0,0,0
20500,4288,4288,4288,0,0,0,,LomaQuintana.LL,LomaQuintana.LL,,Loma Quintana,GCS_Loma_Quintana,Loma Quintana,,,Loma Quintana,,,,,,,,,0,0,0
20600,4289,4289,4289,0,0,8273,,Amersfoort.LL,Amersfoort.LL,Amersfoort/a.LL,Amersfoort,GCS_Amersfoort,Amersfoort,,,Amersfoort,,,,Longitude / Latitude (Netherlands),,,,,0,0,0
20700,4291,,,0,0,,,,,SAD69.LL,SAD69|xSAD69,x_South_American_1969,xSAD69,,,xSAD69,,,,Longitude / Latitude (xSAD 69),,,,,0,0,0
20900,4292,4292,4292,0,0,8295,0,Sapper.LL,,Sapper.LL,Sapper Hill 1943,GCS_Sapper_Hill_1943,Sapper Hill 1943,,,Sapper Hill 1943,,,,Longitude / Latitude (Sapper Hill 1943),,,,,,,
21000,4293,4293,4293,0,0,8296,,Schwarzk.LL,Schwarzeck.LL,Schwarzk.LL,Schwarzeck,GCS_Schwarzeck,Schwarzeck,,,Schwarzeck,,,,Longitude / Latitude (Schwarzeck),,,,,0,0,0
21100,4295,4295,4295,0,0,0,,Serindung.LL,Serindung.LL,,Serindung,GCS_Serindung,Serindung,,,Serindung,,,,,,,,,0,0,0
21200,4296,4296,4296,0,0,0,,Sudan.LL,Sudan.LL,,Sudan,GCS_Sudan,Sudan,,,Sudan,,,,,,,,,0,0,0
21300,4297,4297,4297,0,0,0,,Tananarive25.LL,Tananarive25.LL,Tananarive1925.LL,Tananarive,GCS_Tananarive_1925,Tananarive,,,Tananarive,,,,,,,,,0,0,0
21400,4298,4298,4298,0,0,8300,,TIMBALAI.LL,Timbalai48.LL,TIMBALAI.LL,Timbalai 1948,GCS_Timbalai_1948,Timbalai 1948,,,Timbalai 1948,,,,Longitude / Latitude (Timbalai 1948),,,"This mapping uses the DMA, with multiple regression, definition of the Timbalai 1948 datum.  Using this over TMBLI-B was a rather arbitrary decision.",,0,0,0
21500,4299,4299,4299,0,0,8237,,TM65.LL,TM65.LL,TM1965/a.LL,TM65,GCS_TM65,TM65,,,TM65,,,,Longitude / Latitude (Ireland 1965),,,,,0,0,0
21600,4300,4300,4300,0,0,0,,TM75.LL,TM75.LL,,TM75,GCS_TM75,TM75,,,TM75,,,,,,,,,0,0,0
21700,4301,4301,2000003,0,0,8301,,Tokyo,Tokyo.LL,Tokyo,Tokyo,GCS_Tokyo,Tokyo,,,Tokyo,,,,Longitude / Latitude (Tokyo),,,,,0,0,0
21800,4302,4302,4302,0,0,0,,Trinidad03.LL,Trinidad03.LL,Trinidad1903.LL,Trinidad 1903,GCS_Trinidad_1903,Trinidad 1903,,,Trinidad 1903,,,,,,,,,0,0,0
21900,4303,4303,4303,0,0,0,,TrucialCoast48.LL,TrucialCoast48.LL,,TC(1948),GCS_Trucial_Coast_1948,TC(1948),,,TC(1948),,,,,,,,,0,0,0
22000,4304,4304,4304,0,0,0,,Voirol1875.LL,Voirol1875.LL,Voirol1875_1.LL,Voirol 1875,GCS_Voirol_1875_Degree,Voirol 1875,,,Voirol 1875,,,,,,,,,0,0,0
22100,4306,4306,4306,0,0,0,,Bern38.LL,Bern38.LL,,Bern 1938,GCS_Bern_1938,Bern 1938,,,Bern 1938,,,,,,,,,0,0,0
22200,4307,4307,4307,0,0,0,,NordSahara59.LL,NordSahara59.LL,NordSahara1959.LL,Nord Sahara 1959,GCS_Nord_Sahara_1959,Nord Sahara 1959,,,Nord Sahara 1959,,,,,,,,,0,0,0
22300,4308,4308,4308,0,0,0,,Stockholm38.LL,Stockholm38.LL,,RT38,GCS_RT38,RT38,,,RT38,,,,,,,,,0,0,0
22400,4309,4309,4309,0,0,8309,,Yacare.LL,Yacare.LL,Yacare/E.LL,Yacare,GCS_Yacare,Yacare,,,Yacare,,,,Longitude / Latitude (Yacare),,,,,0,0,0
22500,4310,4310,4310,0,0,0,,Yoff.LL,Yoff.LL,,Yoff,GCS_Yoff,Yoff,,,Yoff,,,,,,,,,0,0,0
22600,4311,4311,4311,0,0,8310,,Zanderij.LL,Zanderij.LL,Zanderij.LL,Zanderij,GCS_Zanderij,Zanderij,,,Zanderij,,,,Longitude / Latitude (Zanderij),,,,,0,0,0
22700,4312,4312,4312,0,0,0,,MGI.LL,MGI.LL,MGI-AT.LL,MGI,GCS_MGI,MGI,,,MGI,,,,,,,,,0,0,0
22800,4313,4313,4313,0,0,0,,Belge72.LL,Belge72.LL,Belge72a.LL,Belge 1972,GCS_Belge_1972,Belge 1972,,,Belge 1972,,,,,,,,,0,0,0
22900,4314,4314,4314,0,0,8220,,DHDN.LL,DHDN.LL,DHDN/2.LL,DHDN,GCS_Deutsches_Hauptdreiecksnetz,DHDN,,,DHDN,,,,Longitude / Latitude (DHDN),,,,,0,0,0
23000,4315,4315,4315,0,0,0,,Conakry05.LL,Conakry05.LL,Conakry1905.LL,Conakry 1905,GCS_Conakry_1905,Conakry 1905,,,Conakry 1905,,,,,,,,,0,0,0
23100,4316,4316,4316,0,0,0,,DealulPiscului33.LL,DealulPiscului33.LL,DealulPiscului1933.LL,Dealul Piscului 1930,GCS_Dealul_Piscului_1933,Dealul Piscului 1933,,,Dealul Piscului 1933,,,,,,,,,0,0,0
23200,4317,0,4317,0,0,0,,DealulPiscului70.LL,DealulPiscului70.LL,DealulPiscului1970.LL,,GCS_Dealul_Piscului_1970,Dealul Piscului 1970,,,Dealul Piscului 1970,,,,,,,,,0,0,0
23300,4318,4318,4318,0,0,0,,NtlGeodeticNet.LL,NtlGeodeticNet.LL,NtlGeodeticNet.LL,NGN,GCS_NGN,NGN,,,NGN,,,,,,,,,0,0,0
23400,4319,4319,4319,0,0,0,,KuwaitUtility.LL,KuwaitUtility.LL,KuwaitUtility.LL,KUDAMS,GCS_KUDAMS,KUDAMS,,,KUDAMS,,,,,,,,,0,0,0
23500,4322,4322,4322,0,0,8306,,LL72,WGS72.LL,LL72,WGS 72,GCS_WGS_1972,WGS 72,,,WGS 72,,,,Longitude / Latitude (WGS 72),,,,,0,0,0
23600,4324,4324,4324,0,0,0,,WGS72-TBE.LL,WGS72/be.LL,WGS72-TBE/a.LL,WGS 72BE,GCS_WGS_1972_BE,WGS 72BE,,,WGS 72BE,,,,,,,,,0,0,0
23700,4326,4326,2000002,0,0,8192,,LL84,WGS84.LL,LL84|CRS:84,WGS 84,GCS_WGS_1984,WGS 84|TWD97,,,WGS 84,,CRS:84,,WGS 84|Longitude / Latitude (WGS 84),"WGS84 Lat/Long's, Degrees, -180 ==> +180",,,,0,0,0
23800,4600,4600,4600,0,0,0,,Anguilla57.LL,Anguilla57.LL,,Anguilla 1957,GCS_Anguilla_1957,Anguilla 1957,,,Anguilla 1957,,,,,,,,,0,0,0
23900,4601,4601,4601,0,0,0,,Antigua43.LL,Antigua43.LL,Antigua1943.LL,Antigua 1943,GCS_Antigua_1943,Antigua 1943,,,Antigua 1943,,,,,,,,,0,0,0
24000,4602,4602,4602,0,0,0,,Dominica45.LL,Dominica45.LL,Dominica1945.LL,Dominica 1945,GCS_Dominica_1945,Dominica 1945,,,Dominica 1945,,,,,,,,,0,0,0
24100,4603,4603,4603,0,0,0,,Grenada53.LL,Grenada53.LL,Grenada1953.LL,Grenada 1953,GCS_Grenada_1953,Grenada 1953,,,Grenada 1953,,,,,,,,,0,0,0
24200,4604,4404,4604,0,0,0,,Montserrat58.LL,Montserrat58.LL,Montserrat1958.LL,Montserrat 1958,GCS_Montserrat_1958,Montserrat 1958,,,Montserrat 1958,,,,,,,,,0,0,0
24300,4605,4605,4605,0,0,0,,StKitts55.LL,StKitts55.LL,StKitts1955.LL,St. Kitts 1955,GCS_St_Kitts_1955,St. Kitts 1955,,,St. Kitts 1955,,,,,,,,,0,0,0
24400,4606,4606,4606,0,0,0,,StLucia55.LL,StLucia55.LL,StLucia1955.LL,St. Lucia 1955,GCS_St_Lucia_1955,St. Lucia 1955,,,St. Lucia 1955,,,,,,,,,0,0,0
24500,4607,4607,4607,0,0,0,,StVincent45.LL,StVincent45.LL,StVincent1945.LL,St. Vincent 1945,GCS_St_Vincent_1945,St. Vincent 1945,,,St. Vincent 1945,,,,,,,,,0,0,0
